firm_id,year,EBIT,Total Current Liabilities,CapitalEmployed,NetIncome,Total Assets,SIZE,Total Liabilities,LEVERAGE,ROCE,Close,High,Low,Daily Avg. Value (M.Baht),ROE,ROA,EBIT Margin,D/E Ratio,ESG,ES,SS,GS,ESG.1
ACE,2020,1656.57,1212.73,15216.96,6038.96,16429.69,9.70684534292878,4436.86,0.2700513521557619,0.1088633997855025,3.64,4.62,1.9,117.35,13.23,10.84,27.43,0.37,1,1.15,1.43,1.0,1.16
ACE,2021,1749.31,1327.2,17413.0,5739.67,18740.2,9.83842622809405,5371.62,0.286636215195142,0.10046000114856717,3.5,4.6,3.44,271.14,11.9,9.95,30.48,0.4,1,1.0,1.0,1.15,1.06
ACE,2022,1506.29,1768.67,18302.47,6933.97,20071.14,9.90703824137307,5886.38,0.293275817915674,0.08229982073457844,2.7,3.6,2.52,63.82,9.34,7.76,21.72,0.41,3,3.19,3.54,2.86,3.15
ACE,2023,1327.55,1681.64,20055.57,6609.8,21737.21,9.98678081757297,6434.61,0.29601821024869335,0.06619358113481691,1.53,2.74,1.41,28.76,7.32,6.35,20.09,0.42,4,4.46,3.99,3.97,4.15
ACE,2024,1198.73,2033.38,23080.32,6473.1,25113.7,10.1311687929491,8953.01,0.3564990423553678,0.05193732149294291,1.36,1.67,1.25,5.22,5.37,5.12,18.52,0.55,5,4.93,4.57,5.0,4.87
ADB,2020,96.18,480.41,763.27,1376.9,1243.68,7.12583000548191,598.34,0.4811044641708478,0.12601045501591837,0.82,0.88,0.25,0.26,11.36,7.7,6.99,0.93,1,1.0,1.04,1.0,1.01
ADB,2021,102.75,680.35,773.6999999999999,1689.82,1454.05,7.28210804539767,770.51,0.5299061242735807,0.13280341217526173,1.96,2.44,0.8,48.6,11.39,7.62,6.08,1.13,3,3.47,2.8,3.08,3.15
ADB,2022,7.7,927.81,698.5800000000002,2166.51,1626.39,7.39411811374629,982.66,0.6041970253137315,0.011022359643848949,1.24,2.1,1.15,6.27,-1.04,0.5,0.36,1.53,3,3.23,3.25,3.14,3.2
ADB,2023,-26.29,730.69,680.0,1637.11,1410.69,7.25183422537595,810.09,0.5742508984964805,-0.038661764705882354,1.05,1.57,0.75,2.13,-7.51,-1.73,-1.61,1.35,3,2.86,2.8,3.33,3.03
ADB,2024,-0.56,376.99,676.5799999999999,935.93,1053.57,6.95993967621958,418.73,0.3974391829683837,-0.0008276922167371192,0.92,1.34,0.38,0.45,5.54,0.05,-0.06,0.66,4,4.16,3.87,4.03,4.04
