symbol,esg_rating,cg_score
AAV,AAA,4
ACE,AAA,4
ADB,AA,3
ADVANC,AAA,4
AEONTS,A,2
AGE,,
AH,,
AJ,AAA,4
AKP,AA,3
AKR,BBB,1
ALLA,A,2
ALT,A,2
ALUCON,A,2
AMATA,AAA,4
AMATAV,AAA,4
AOT,AA,3
AP,AA,3
ARROW,,
ASIAN,,
ASIMAR,BBB,1
ASK,AA,3
ASP,AA,3
ASW,AAA,4
AURA,AA,3
AWC,AAA,4
BA,A,2
BAFS,,
BAM,AAA,4
BANPU,AAA,4
BAY,AAA,4
BBGI,AAA,4
BBL,AAA,4
BCH,AA,3
BCP,,
BCPG,,
BDMS,AAA,4
BEM,AAA,4
BGC,AAA,4
BGRIM,AAA,4
BH,A,2
BJC,AAA,4
BKIH,AAA,4
BLA,AA,3
BLC,A,2
BPP,AAA,4
BRI,AA,3
BRR,,
BTG,AAA,4
BTS,AA,3
BWG,,
CBG,AA,3
CENTEL,AAA,4
CFRESH,A,2
CHAO,A,2
CHASE,A,2
CHG,A,2
CHO,,
CIVIL,AA,3
CK,AA,3
CKP,AAA,4
CM,A,2
CMAN,AA,3
COLOR,AA,3
COM7,AA,3
COTTO,,
CPALL,AAA,4
CPAXT,AAA**,
CPF,AAA,4
CPL,A,2
CPN,AAA,4
CRC,AAA,4
CREDIT,A,2
CSC,BBB,1
CSL,,
DELTA,,
DEMCO,,
DITTO,AAA,4
DMT,AA,3
DRT,AA,3
EA,,
EASTW,AAA,4
EGCO,AA,3
EPG,AA,3
ERW,A,2
ETC,AA,3
FPI,AAA,4
FPT,AAA,4
GABLE,A,2
GCAP,,
GFPT,AA,3
GGC,,
GLOBAL,AAA,4
GPSC,AAA,4
GULF,AA,3
GUNKUL,AAA,4
HANA,AAA,4
HARN,A,2
HENG,AAA,4
HMPRO,AAA,4
HTC,AA,3
HUMAN,A,2
ICHI,AA,3
III,AAA,4
ILINK,AA,3
ILM,AAA,4
INSET,A,2
IRC,A,2
IRPC,,
IT,AA,3
ITC,A,2
ITEL,,
ITTHI,AA,3
IVL,AAA,4
J,BBB,1
JMART,AA,3
JMT,A,2
JTS,,
KBANK,AAA,4
KCE,AA,3
KCG,AAA,4
KEX,,
KJL,AAA,4
KKP,AAA,4
KSL,A,2
KTB,AAA,4
KTC,AAA,4
KUMWEL,AA,3
LEO,BBB,1
LH,AAA,4
LHFG,AA,3
LIT,,
LOXLEY,AAA,4
LPN,,
M,A,2
MAJOR,AAA,4
MBK,AAA,4
MC,AAA,4
M-CHAI,AAA,4
MEGA,BBB,1
MFC,,
MFEC,AAA,4
MGC,A,2
MICRO,,
MINT,AA,3
MODERN,AA,3
MOONG,A,2
MOSHI,AA,3
MSC,AA,3
MTC,AA,3
MTI,AAA,4
NDR,,
NEO,A,2
NER,AAA,4
NL,BBB,1
NOBLE,AAA,4
NRF,,
NVD,AA,3
NYT,AA,3
OR,AAA,4
ORI,AAA,4
OSP,AAA,4
PEER,,
PAP,,
PB,AAA,4
PCC,AA,3
PCSGH,,
